sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink,slope
4552,6/13/2009 11:51,13,53.07315485,8.806570116,48,31,125,51883362,F,49.89103035,0.031452329,-0.027414991
4552,6/13/2009 11:51,13,53.07283583,8.807167746,47,44,133,67948946,U,42.91562772,0.04888268,U
4552,6/13/2009 11:51,13,53.07246217,8.807902168,48,46,127,67948945,U,38.89233135,0.079889914,U
4552,6/13/2009 11:51,13,53.07214927,8.808714794,49,47,116,811593144,U,251.1503057,0.047372185,U
4552,6/13/2009 11:51,13,53.07192472,8.809619369,49,45,108,67948530,U,12.21485874,0.048886321,U
4552,6/13/2009 11:51,13,53.07184132,8.810292687,47,15,97,51883890,U,28.80105211,4.34E-04,U
4552,6/13/2009 11:52,13,53.07184006,8.810404669,46,0,241,51883890,U,28.80105211,0.021480784,-0.027415437
4552,6/13/2009 11:52,13,53.07184559,8.810413219,46,0,129,51883890,U,28.80105211,0.028601461,0
4552,6/13/2009 11:52,13,53.0718492,8.810417242,47,0,160,51883890,U,28.80105211,0.032939761,0.027415559
4552,6/13/2009 11:52,13,53.07185146,8.810418919,47,0,212,51883890,U,28.80105211,0.035488254,0
4552,6/13/2009 11:52,13,53.07185238,8.810419841,47,0,180,51883890,U,28.80105211,0.036573315,0
4552,6/13/2009 11:52,13,53.07185012,8.810608685,50,16,88,51883887,U,21.29649982,0.03978,U
3496,6/12/2009 6:12,13,51.49686822,9.386022231,200,23,339,62007637,U,36.62969518,0.066169896,U
3496,6/12/2009 6:12,13,51.49668222,9.386157263,200,10,129,62007637,T,12.94600147,0.022548348,0
3496,6/12/2009 6:12,13,51.49670485,9.386422299,201,21,60,567329767,U,79.34459644,0.078770383,U
3496,6/12/2009 6:13,13,51.49674928,9.386839969,201,0,360,567329767,T,43.97214741,0.035346496,0
3496,6/12/2009 6:13,13,51.49686394,9.387294017,199,0,360,567329767,U,43.97214741,0.067521068,-0.027415272
3496,6/12/2009 6:13,13,51.49693024,9.387715962,198,5,89,567329767,F,66.00909311,0.01413304,-0.027415042
3496,6/12/2009 6:13,13,51.49695748,9.38779383,198,1,288,567329767,F,72.056529,0.0184804,0
3496,6/12/2009 6:13,13,51.49695212,9.387805229,197,0,310,567329767,F,72.74967048,0.01014308,-0.027415551
3496,6/12/2009 6:13,13,51.49694902,9.387818137,196,0,274,567329767,F,73.59560748,0.00355284,-0.027415551
3496,6/12/2009 6:13,13,51.49694433,9.387840182,196,0,226,567329767,F,75.05276771,0.00712216,0
3496,6/12/2009 6:13,13,51.49694114,9.387851749,197,0,201,567329767,F,75.80235143,0.01342332,0.027415552
3496,6/12/2009 6:13,13,51.49693854,9.387855437,197,0,182,567329767,F,76.00881156,0.01695196,0
3496,6/12/2009 6:13,13,51.49693745,9.387856694,197,0,232,567329767,F,76.07499085,0.01835032,0
3496,6/12/2009 6:13,13,51.49693628,9.38785946,197,0,202,567329767,F,76.24586837,0.020248,0
3496,6/12/2009 6:14,13,51.49693578,9.387860298,197,0,199,567329767,F,76.2946469,0.02096264,0
3496,6/12/2009 6:14,13,51.49693452,9.387863232,197,0,179,567329767,F,76.47551386,0.02299376,0
3496,6/12/2009 6:14,13,51.49693393,9.387865327,197,0,184,567329767,F,76.61102607,0.02414676,0
3496,6/12/2009 6:14,13,51.49693242,9.387867423,197,0,199,567329767,F,76.7276987,0.02618324,0
3496,6/12/2009 6:14,13,51.49693184,9.387868848,197,0,178,567329767,F,76.81620006,0.02713904,0
3496,6/12/2009 6:14,13,51.496931,9.387869518,197,0,183,567329767,F,76.84615076,0.02813304,0
3496,6/12/2009 6:14,13,51.49693058,9.387870021,197,0,194,567329767,F,76.87296544,0.02867708,0
3496,6/12/2009 6:14,13,51.49693033,9.387871027,197,0,176,567329767,F,76.93872189,0.02919876,0
3496,6/12/2009 6:14,13,51.49693066,9.387872452,197,0,172,567329767,F,77.04592776,0.02928096,0
3496,6/12/2009 6:14,13,51.49693083,9.387873374,197,0,177,567329767,F,77.11439739,0.02937592,0
3496,6/12/2009 6:14,13,51.49693117,9.387873961,197,0,195,567329767,F,77.16275308,0.02921388,0
3496,6/12/2009 6:15,13,51.49693167,9.387874799,197,0,185,567329767,F,77.232086,0.02896852,0
3496,6/12/2009 6:15,13,51.49693184,9.387875218,197,0,214,567329767,F,77.2651081,0.02892264,0
3496,6/12/2009 6:15,13,51.49693192,9.387875553,197,0,190,567329767,F,77.29036065,0.02893964,0
3496,6/12/2009 6:15,13,51.49693217,9.387876056,197,0,179,567329767,F,77.33094677,0.02884048,0
3496,6/12/2009 6:15,13,51.49693226,9.387876391,197,0,183,567329767,F,77.35640486,0.02884788,0
3496,6/12/2009 6:15,13,51.49693226,9.387876894,197,0,207,567329767,F,77.39185239,0.02898872,0
3496,6/12/2009 6:15,13,51.49693242,9.38787723,197,0,191,567329767,F,77.41881976,0.0289292,0
3496,6/12/2009 6:15,13,51.49693234,9.387877816,197,0,176,567329767,F,77.45847212,0.02917008,0
3496,6/12/2009 6:15,13,51.49693242,9.387878235,197,0,176,567329767,F,77.48964433,0.0292106,0
3496,6/12/2009 6:15,13,51.49693234,9.387878571,197,0,184,567329767,F,77.51167865,0.02938148,0
3496,6/12/2009 6:15,13,51.49693234,9.387879074,197,0,185,567329767,F,77.54712617,0.02952232,0
3496,6/12/2009 6:15,13,51.49693259,9.387879577,197,0,165,567329767,F,77.5877123,0.02942316,0
3496,6/12/2009 6:16,13,51.49693284,9.387879828,197,0,190,567329767,F,77.61053942,0.02925344,0
3496,6/12/2009 6:16,13,51.49693293,9.387880247,197,0,194,567329767,F,77.64191718,0.02928436,0
3496,6/12/2009 6:16,13,51.49693293,9.387880582,198,0,199,567329767,F,77.66552537,0.02937816,0.027415567
3496,6/12/2009 6:16,13,51.49693293,9.38788075,198,0,192,567329767,F,77.6773647,0.0294252,0
3496,6/12/2009 6:16,13,51.49693293,9.387880918,198,0,230,567329767,F,77.68920403,0.02947224,0
3496,6/12/2009 6:16,13,51.49693066,9.387878152,197,0,235,567329767,T,77.4476194,0.03087696,-0.027415562
3496,6/12/2009 6:16,13,51.49696,9.387928694,196,7,43,567329767,F,81.61249163,0.01686232,-0.027415484
3496,6/12/2009 6:16,13,51.49711582,9.388020476,197,18,359,567329767,F,90.47713965,0.107587937,0.027415246
3496,6/12/2009 6:16,13,51.49726175,9.387757033,202,15,270,567329767,T,75.71745001,0.32088276,0.027415483
3496,6/12/2009 6:16,13,51.49717533,9.387423517,200,15,231,567329767,T,50.43750202,0.33130404,-0.027415349
3496,6/12/2009 6:16,13,51.49694986,9.387356462,199,19,176,567329767,T,41.07756729,0.13362824,-0.027415123
3496,6/12/2009 6:17,13,51.49677023,9.38704147,198,24,252,567329767,F,43.97214741,0.020166612,-0.027415052
3496,6/12/2009 6:17,13,51.49668415,9.386545597,199,24,254,567329767,F,79.34459644,0.031079704,0.027414946
3496,6/12/2009 6:17,13,51.49669362,9.386180229,200,6,251,62007637,U,13.00989318,0.00308418,U
3496,6/12/2009 6:17,13,51.49663554,9.386133291,199,7,248,62007637,T,9.572167797,0.064023844,-0.027415442
3496,6/12/2009 6:17,13,51.49648122,9.385797177,201,22,239,62007648,U,65.09250331,0.003586476,U
3496,6/12/2009 6:17,13,51.49638232,9.385239277,205,26,247,62007648,T,24.48885836,0.019581037,0.027415393
3496,6/12/2009 6:17,13,51.49632054,9.384923279,208,13,305,78670326,U,2.290199777,0.025225296,U
3496,6/12/2009 6:17,13,51.49650763,9.384865025,207,26,345,78670326,F,22.58192305,0.053624132,-0.027415198
3496,6/12/2009 6:17,13,51.49692438,9.384653131,208,31,343,78670326,F,71.50045002,0.042832618,0.027414719
3496,6/12/2009 6:17,13,51.49726753,9.38445163,211,27,340,78670326,F,113.0032545,0.009577522,0.027415331
3496,6/12/2009 6:17,13,51.49758345,9.384288769,210,24,344,78670326,F,150.1873112,6.17E-04,-0.027414924
3496,6/12/2009 6:17,13,51.49772812,9.384238562,211,5,342,78670326,F,166.1117832,0.01668957,0.02741528
3496,6/12/2009 6:18,13,51.49770943,9.384241328,211,2,134,78670326,T,164.2229038,0.011099488,0
3496,6/12/2009 6:18,13,51.49768587,9.38425893,209,1,162,78670326,T,161.2028637,0.016779426,-0.027415543
3496,6/12/2009 6:18,13,51.49768612,9.384262618,207,0,172,78670326,T,161.0595035,0.020212733,-0.027415566
4553,6/13/2009 11:41,13,53.04787545,8.818977429,42,0,103,586525543,U,28.62235918,0.067694772,U
4553,6/13/2009 11:41,13,53.0479938,8.819090165,37,20,24,51867694,U,13.74117945,0.034375415,U
4553,6/13/2009 11:41,13,53.04832103,8.819196783,38,27,352,83573219,U,7.94576109,0.008938771,U
4553,6/13/2009 11:41,13,53.04854893,8.818707028,37,35,296,554728228,U,182.4669643,0.015657474,U
4553,6/13/2009 11:41,13,53.04876024,8.817949472,37,44,296,554728228,T,148.5022604,0.013465968,0
4553,6/13/2009 11:41,13,53.04901463,8.817092422,39,46,295,554728228,F,154.9305442,0.030519944,0.02741501
4553,6/13/2009 11:41,13,53.04926625,8.816206288,35,47,294,554728228,F,193.2439219,0.039376017,-0.027415282
4553,6/13/2009 11:41,13,53.04949366,8.81534664,36,44,292,554728228,F,256.2488019,0.031859086,0.027414472
4553,6/13/2009 11:41,13,53.04973472,8.814451871,34,49,295,554728229,U,42.82279467,0.011311497,U
4553,6/13/2009 11:41,13,53.04999607,8.81347362,29,54,295,51867645,U,77.01540532,0.02062631,U
4553,6/13/2009 11:41,13,53.05027736,8.812454045,24,54,294,586525586,U,27.98027682,0.008401139,U
4553,6/13/2009 11:42,13,53.05058246,8.811475122,23,52,297,762732456,U,0.381934658,0.001025765,U
4553,6/13/2009 11:42,13,53.05084113,8.810601477,24,45,297,51866678,U,33.922398,0.010219404,U
4553,6/13/2009 11:42,13,53.05107306,8.809880298,31,28,291,51866678,T,32.8835865,5.41E-04,0.027415431
4553,6/13/2009 11:42,13,53.05119946,8.80948903,31,14,306,51866677,U,27.95496428,0.005691627,U
4553,6/13/2009 11:42,13,53.05127934,8.809216954,30,15,288,799517966,U,32.91122529,0.001298007,U
4553,6/13/2009 11:42,13,53.05138528,8.809028529,34,3,290,799517966,U,32.91122529,0.045981458,0.027415493
4553,6/13/2009 11:42,13,53.0514111,8.808990978,37,0,252,799517966,U,32.91122529,0.059377892,0.027415546
4553,6/13/2009 11:42,13,53.05141076,8.808989134,35,0,47,799517966,U,32.91122529,0.058501533,-0.027415567
4553,6/13/2009 11:42,13,53.05143876,8.808838595,33,15,303,799517966,T,8.065371288,0.040130596,-0.027415476
4553,6/13/2009 11:42,13,53.05160514,8.808500972,34,26,303,799517967,U,29.91782466,0.098103888,U
4553,6/13/2009 11:42,13,53.05175752,8.80794894,34,31,290,799517967,T,13.9213261,0.083454852,0
4553,6/13/2009 11:42,13,53.05192273,8.807315351,34,40,309,51865408,U,64.36505589,0.055694115,U
4553,6/13/2009 11:43,13,53.05216564,8.80639242,33,53,291,51865408,T,13.72277623,0.021433882,-0.027414392
4553,6/13/2009 11:43,13,53.05241223,8.805452054,33,0,360,51882109,U,61.64895446,0.039878792,U
4553,6/13/2009 11:43,13,53.0527942,8.804538343,37,42,306,762732451,U,10.5433456,0.022509184,U
4553,6/13/2009 11:43,13,53.05308513,8.803816661,37,43,307,762732452,U,23.5591347,0.015505708,U
4553,6/13/2009 11:43,13,53.05339962,8.803071762,37,44,305,762732452,F,84.30719203,0.018413786,0
4553,6/13/2009 11:43,13,53.05371487,8.802279253,39,44,309,762732452,F,148.3772697,0.003663135,0.027415013
4553,6/13/2009 11:43,13,53.05402064,8.80160342,41,41,310,51882111,U,41.58677281,0.004006139,U
4553,6/13/2009 11:43,13,53.05437678,8.801067146,41,31,317,51882112,U,57.86260685,0.074397813,U
4553,6/13/2009 11:43,13,53.05463838,8.800602537,41,32,315,51882112,U,57.86260685,0.082630044,0
4553,6/13/2009 11:43,13,53.05492278,8.800075818,39,34,312,51882085,U,160.1600795,0.040635368,U
4553,6/13/2009 11:43,13,53.05523694,8.79942446,38,43,308,762732453,U,15.41401228,0.049072295,U
4553,6/13/2009 11:43,13,53.05557565,8.798744772,39,40,313,762732447,U,19.97211665,0.006674246,U
4553,6/13/2009 11:44,13,53.05589743,8.798143873,39,37,313,762732448,U,33.18436686,0.025962958,U
4553,6/13/2009 11:44,13,53.05622726,8.797582621,39,37,315,762732458,U,45.69785711,0.016394197,U
4553,6/13/2009 11:44,13,53.05658785,8.79698935,39,43,315,762732458,T,28.41868275,0.005253738,0
4553,6/13/2009 11:44,13,53.05699303,8.79633422,40,46,316,719953785,U,5.370843781,0.003096657,U
4553,6/13/2009 11:44,13,53.05744523,8.79564615,38,48,314,719953785,F,73.61047965,0.004974756,-0.027414973
4553,6/13/2009 11:44,13,53.0578707,8.795053298,38,38,319,716671988,U,92.79351387,0.015734355,U
4553,6/13/2009 11:44,13,53.05822877,8.794514593,38,39,315,716671988,U,92.79351387,0.003500452,0
4553,6/13/2009 11:44,13,53.05857914,8.793936577,39,37,320,716671988,T,47.25322664,0.04087553,0.02741461
4553,6/13/2009 11:44,13,53.05886253,8.793555368,39,26,320,716671988,F,87.19017836,0.027764711,0
4553,6/13/2009 11:44,13,53.05912522,8.793208944,41,30,319,716671988,F,123.7319944,0.011626503,0.027415242
4553,6/13/2009 11:44,13,53.05948782,8.792702258,41,40,318,762772848,U,28.34176119,0.009154514,U
4553,6/13/2009 11:44,13,53.05987682,8.792159446,42,42,319,762772849,U,29.5541333,0.006473541,U
4553,6/13/2009 11:45,13,53.06029759,8.791560726,42,43,318,762772849,F,91.18120524,0.007558599,0
4553,6/13/2009 11:45,13,53.06067612,8.791023698,41,37,319,762772849,F,146.5121751,0.007619684,-0.027414602
4553,6/13/2009 11:45,13,53.06105465,8.790491028,41,40,320,762772849,F,201.5429858,0.005169682,0
4553,6/13/2009 11:45,13,53.06144667,8.789933128,42,40,319,51881430,U,88.99155001,0.004741959,U
4553,6/13/2009 11:45,13,53.0618459,8.789378079,41,40,321,51881430,T,21.33775375,0.003250549,-0.027414558
4553,6/13/2009 11:45,13,53.06221722,8.788966024,42,33,326,51888926,U,84.6596694,0.006307706,U
4553,6/13/2009 11:45,13,53.06247898,8.78862706,40,17,324,51888926,U,84.6596694,0.016994815,-0.027415246
4553,6/13/2009 11:45,13,53.06247865,8.788580121,38,0,199,51888926,U,84.6596694,0.011024609,-0.02741554
4553,6/13/2009 11:45,13,53.06248695,8.788583055,37,0,202,51888926,U,84.6596694,0.002596069,-0.027415551
4553,6/13/2009 11:45,13,53.06248745,8.788583977,37,0,171,51888926,U,84.6596694,0.001647685,0
4553,6/13/2009 11:45,13,53.06248778,8.78858339,37,0,199,51888926,U,84.6596694,0.001728618,0
4553,6/13/2009 11:45,13,53.06248812,8.788583474,36,0,203,51888926,U,84.6596694,0.001404749,-0.027415567
4553,6/13/2009 11:46,13,53.06248862,8.788584061,36,0,209,51888926,U,84.6596694,6.54E-04,0
4553,6/13/2009 11:46,13,53.06248879,8.788583474,37,0,198,51888926,U,84.6596694,8.64E-04,0.027415567
4553,6/13/2009 11:46,13,53.06248913,8.788583726,37,0,206,51888926,U,84.6596694,4.41E-04,0
4554,6/13/2009 11:34,13,53.02904123,8.806872116,46,0,196,554739608,U,89.10991302,0.056221503,U
4554,6/13/2009 11:34,13,53.0290424,8.806874128,46,0,151,554739608,F,89.31898052,0.05541516,0
4554,6/13/2009 11:35,13,53.02889102,8.80688603,45,22,198,554739608,T,78.86773053,0.050156006,-0.027415274
4554,6/13/2009 11:35,13,53.02854485,8.806620995,45,36,206,554739608,T,37.1480781,0.066229797,0
4554,6/13/2009 11:35,13,53.02805602,8.806229644,46,45,206,554739608,F,138.8262008,0.075722132,0.027414515
4554,6/13/2009 11:35,13,53.02756752,8.805842483,46,40,206,554739608,U,138.8262008,0.088192451,0
4554,6/13/2009 11:35,13,53.02735822,8.805671157,45,6,206,554739608,U,138.8262008,0.089336526,-0.027415115
4554,6/13/2009 11:35,13,53.02727792,8.805601168,45,14,207,554739608,U,138.8262008,0.086491935,0
4554,6/13/2009 11:35,13,53.02717952,8.805652717,46,10,81,51867079,U,27.95841301,0.006161833,U
4554,6/13/2009 11:35,13,53.02740952,8.805804346,47,26,24,51867079,T,8.068854351,0.024697334,0.027415087
4554,6/13/2009 11:35,13,53.02785502,8.806164432,46,44,26,554739611,U,35.15880789,0.015923746,U
4554,6/13/2009 11:35,13,53.02841795,8.80661672,46,51,26,554739611,F,104.825708,0.012716537,0
4554,6/13/2009 11:35,13,53.02899714,8.807074456,46,50,25,554739611,F,176.047061,0.015375017,0
4554,6/13/2009 11:35,13,53.02955747,8.807526324,47,49,26,554728248,U,31.95941644,0.011885927,U
4554,6/13/2009 11:36,13,53.03007312,8.807941983,48,41,26,554728249,U,25.49536276,0.01341027,U
4554,6/13/2009 11:36,13,53.03030907,8.808120517,49,5,16,67942291,U,6.400921444,0.027694561,U
4554,6/13/2009 11:36,13,53.03030614,8.808120182,49,0,191,67942291,T,6.162140766,0.026106923,0
4554,6/13/2009 11:36,13,53.0304571,8.808228057,50,22,27,67942291,F,23.95468618,0.037577888,0.027415249
4554,6/13/2009 11:36,13,53.03066824,8.808422768,51,10,36,67942292,U,27.94200508,0.033564073,U
4554,6/13/2009 11:36,13,53.03089522,8.808718063,51,29,33,67942292,T,16.82863022,0.01049531,0
4554,6/13/2009 11:36,13,53.03119546,8.809013022,50,26,28,773673189,U,8.57579505,0.022398864,U
4554,6/13/2009 11:36,13,53.03148916,8.809244782,50,25,25,773673190,U,32.74793105,0.034661789,U
4554,6/13/2009 11:36,13,53.03181672,8.809470674,49,31,20,586504553,U,42.23095299,0.035934643,U
4554,6/13/2009 11:36,13,53.03223146,8.809643593,49,34,12,67948819,U,44.9131361,0.050012074,U
4554,6/13/2009 11:36,13,53.03263413,8.809772758,49,33,13,67948819,F,59.7125747,0.052507893,0
4554,6/13/2009 11:37,13,53.03305599,8.809969565,49,37,18,51867088,U,37.38009319,0.008584909,U
4554,6/13/2009 11:37,13,53.03341306,8.810207779,50,39,24,51867088,F,79.99146299,0.003739862,0.027414821
4554,6/13/2009 11:37,13,53.03394883,8.810643218,49,37,27,51867089,U,24.41592483,0.015285595,U
4554,6/13/2009 11:37,13,53.03442048,8.810888054,50,39,17,51867577,U,28.18368417,0.021873844,U
4554,6/13/2009 11:37,13,53.03489003,8.811178487,49,40,22,781750240,U,46.26940402,0.032118624,U
4554,6/13/2009 11:37,13,53.03534274,8.811485097,47,38,22,781750240,F,101.0176696,0.042809386,-0.027415093
4554,6/13/2009 11:37,13,53.03577902,8.81180889,44,36,27,781750240,F,155.3226462,0.076858558,-0.027415259
4554,6/13/2009 11:37,13,53.03621404,8.812125726,41,40,22,781750240,F,209.1423487,0.105758372,-0.02741526
4554,6/13/2009 11:37,13,53.03658368,8.812381122,41,42,21,781750240,F,254.1196285,0.118721079,0
4554,6/13/2009 11:37,13,53.03717268,8.812780352,42,41,22,781750240,F,325.3667828,0.13289366,0.027414333
4554,6/13/2009 11:37,13,53.03768355,8.81307682,41,0,360,781750240,F,384.4472388,0.103411084,-0.027414517
4554,6/13/2009 11:37,13,53.03809578,8.813274717,43,0,360,781750241,U,21.50614395,0.043904621,U
4554,6/13/2009 11:38,13,53.03863188,8.813640922,48,33,23,51867664,U,9.857087122,0.056923028,U
4554,6/13/2009 11:38,13,53.03889692,8.813707475,48,9,20,51867774,U,98.91427286,0.026777484,U
4554,6/13/2009 11:38,13,53.03898308,8.813788528,45,4,11,51867774,U,98.91427286,0.002977875,-0.027415504
4554,6/13/2009 11:38,13,53.03903078,8.813957255,44,8,37,51867774,U,98.91427286,0.11563841,-0.02741535
4554,6/13/2009 11:38,13,53.03931652,8.814106453,46,33,20,51867774,U,98.91427286,0.092744232,0.027415277
